id,year,age,class,degree,sex,marital,race,happy,zodiac,party
2111,2016,61,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,VIRGO,Ind
62,2016,35,MIDDLE CLASS,HIGH SCHOOL,MALE,WIDOWED,BLACK,UNHAPPY,CANCER,Ind
508,2016,21,MIDDLE CLASS,HIGH SCHOOL,FEMALE,NEVER MARRIED,WHITE,UNHAPPY,LEO,Dem
1469,2016,22,WORKING CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,HAPPY,AQUARIUS,Ind
184,2016,32,WORKING CLASS,LT HIGH SCHOOL,MALE,NEVER MARRIED,BLACK,UNHAPPY,CANCER,Ind
178,2016,41,MIDDLE CLASS,GRADUATE,FEMALE,MARRIED,OTHER,HAPPY,AQUARIUS,Ind
971,2016,25,WORKING CLASS,BACHELOR,MALE,NEVER MARRIED,WHITE,UNHAPPY,TAURUS,Ind
6,2016,53,MIDDLE CLASS,JUNIOR COLLEGE,FEMALE,MARRIED,WHITE,HAPPY,SCORPIO,Dem
2063,2016,41,MIDDLE CLASS,BACHELOR,FEMALE,MARRIED,WHITE,HAPPY,CANCER,Dem
2201,2016,67,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,SAGITTARIUS,Ind
1501,2016,55,MIDDLE CLASS,GRADUATE,FEMALE,DIVORCED,BLACK,HAPPY,VIRGO,Dem
1139,2016,48,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,VIRGO,Rep
2288,2016,21,WORKING CLASS,LT HIGH SCHOOL,FEMALE,NEVER MARRIED,BLACK,HAPPY,LIBRA,Ind
884,2016,27,WORKING CLASS,JUNIOR COLLEGE,FEMALE,NEVER MARRIED,WHITE,HAPPY,CANCER,Ind
1222,2016,56,WORKING CLASS,BACHELOR,MALE,DIVORCED,WHITE,HAPPY,AQUARIUS,Rep
1616,2016,80,MIDDLE CLASS,HIGH SCHOOL,FEMALE,WIDOWED,WHITE,HAPPY,ARIES,Dem
1268,2016,26,WORKING CLASS,HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,UNHAPPY,CANCER,Dem
1609,2016,59,WORKING CLASS,LT HIGH SCHOOL,MALE,NEVER MARRIED,WHITE,UNHAPPY,VIRGO,Dem
2252,2016,23,LOWER CLASS,HIGH SCHOOL,FEMALE,SEPARATED,WHITE,UNHAPPY,CAPRICORN,Ind
423,2016,27,WORKING CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,AQUARIUS,Dem
1417,2016,84,MIDDLE CLASS,HIGH SCHOOL,FEMALE,MARRIED,WHITE,HAPPY,PISCES,Rep
